experiment,class,threshold,mean_scrambling_time,std_scrambling_time,front_slope,butterfly_velocity,alpha_mean,alpha_std,alpha_regime_majority,lambda_burst_count_mean,lambda_burst_count_std,lambda_burst_duration_mean,lambda_burst_duration_std,lambda_burst_waiting_time_mean,lambda_burst_waiting_time_std,lambda_burst_peak_mean,lambda_burst_peak_std,lambda_burst_fraction_mean,lambda_burst_fraction_std,threshold_quantile,threshold_value,entropy_burst_count_mean,entropy_burst_count_std,entropy_burst_duration_mean,entropy_burst_duration_std,entropy_burst_waiting_time_mean,entropy_burst_waiting_time_std,entropy_burst_peak_mean,entropy_burst_peak_std,entropy_burst_fraction_mean,entropy_burst_fraction_std,entropy_burst_distance_mean,entropy_burst_distance_std,baseline_distance_mean,baseline_distance_std,inverse_distance_corr_mean,inverse_distance_corr_std,metric,peak_lambda_bin_center,peak_metric_mean
butterfly_front,weak_chaos,1000.0,24.7,5.03409428429364,10.317826880286985,0.09691963352385552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly_front,strong_chaos,1000.0,21.259999999999998,9.45570727127273,6.73267589520528,0.14852935379113624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffusion_alpha,weak_chaos,,,,,,0.09380087257798635,0.1971638518427336,subdiffusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffusion_alpha,intermediate,,,,,,0.20288301087329635,0.19481451565435426,subdiffusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffusion_alpha,strong_chaos,,,,,,-0.0006506057538763929,0.12489984445991893,subdiffusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lambda_burst,weak_chaos,,,,,,,,,1.0,0.0,1.2941176470588236,0.07631658701283228,,,0.35807527514065013,0.0069971381938448846,0.08088235294117647,0.004769786688302017,0.9,0.2977000147104264,,,,,,,,,,,,,,,,,,,
lambda_burst,intermediate,,,,,,,,,1.0,0.0,1.301333333333333,0.05631656555184772,,,0.3584669252236684,0.003936136808276878,0.08133333333333331,0.0035197853469904794,0.9,0.2977000147104264,,,,,,,,,,,,,,,,,,,
lambda_burst,strong_chaos,,,,,,,,,1.0588235294117647,0.23529411764705885,1.9858823529411764,1.1183972714323855,0.52,0.0,0.44466818167882805,0.12441141507495145,0.13558823529411762,0.09282941903331231,0.9,0.2977000147104264,,,,,,,,,,,,,,,,,,,
entropy_burst,weak_chaos,,,,,,,,,,,,,,,,,,,0.9,0.007514476776123047,20.58823529411765,11.002987955307262,0.5940497159801658,0.5561307388608789,0.04000000000000001,6.938893903907228e-18,0.04665062136420805,0.021006766919143938,0.09140962975448058,0.0006356373110278536,1.0005630915128625,0.013285802121187561,0.987120633318292,0.014391182050152532,-0.052082616492121064,0.038205414356206585,,,
entropy_burst,intermediate,,,,,,,,,,,,,,,,,,,0.9,0.007514476776123047,18.933333333333334,7.5141348285895315,0.5788468396159866,0.5503797970029842,0.04000000000000001,7.387016657011928e-18,0.04892275506991079,0.018035874841808304,0.09130850047755491,0.0006571081642964118,1.0040357998781009,0.006618296533128616,0.9981644351615374,0.007952406104346745,-0.03910407534816776,0.029278004557882483,,,
entropy_burst,strong_chaos,,,,,,,,,,,,,,,,,,,0.9,0.007514476776123047,9.941176470588236,4.976067290013318,1.010796333078686,0.7336432656464549,0.04021390374331551,0.0008556149732620314,0.06173205248908431,0.024372296187963154,0.09065116017753805,0.00059590997908861,0.8835190538766318,0.14449379566321582,0.8840430657829453,0.0644122393842426,0.07526345493168204,0.18031212358850118,,,
edge_of_chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,predictive_information_peak,0.06591969914734364,3.709312915802002
edge_of_chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,statistical_complexity,0.16442376375198364,10.3895037904095
edge_of_chaos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,te_total_score,0.06285471469163895,0.07931244373321533
